hardware_model,manufacturer,serial_numbers,cruise_beg_date,transmit_frequency,bin_length,transmit_pulse_length,blanking_interval,bandwidth,transducer_config,depth_range,num_bins,ens_avg_intvl,chief_scientist,personnel_charge
Narrowband 150,RDI,,1998-09-10,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,M.McGowan,Curt Collins (NPGS)
Narrowband 150,RDI,,1998-10-14,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,G.Greene,Curt Collins (NPGS)
Narrowband 150,RDI,,1998-10-29,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,B.Ward and M.Noble,Curt Collins (NPGS)
Narrowband 150,RDI,,1998-12-01,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,B.Prezelin and B.Ward,Curt Collins (NPGS)
Broadband 150,RDI,,1999-05-21,150 kHz,8 m,8.08 m,4 m,broadband,,16 to 408 m,50,60 sec,F.Schwing,"Curt Collins,Navy Postgraduate School"
Narrowband 150,RDI,,1999-01-26,150 kHz,8 m,4 m,4 m,narrowband,,13 to 325 m,40,180 sec,C.Collins,Curt Collins (NPGS)
Narrowband 150,RDI,,1999-04-07,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,see PI above,Curt Collins (NPGS)
Narrowband 150,RDI,,1999-04-30,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,C.Collins,Curt Collins (NPGS)
Narrowband 150,RDI,,1999-08-24,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,"C.Collins, S.Ramp, H.Jones",Curt Collins (NPGS)
Narrowband 150,RDI,,1999-09-15,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,M.McGowan,Curt Collins (NPGS)
Narrowband 150,RDI,,1999-10-22,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPGS)
Narrowband 150,RDI,,1999-12-01,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,"O'Sullivan, T.Pennington",Curt Collins (NPGS)
Narrowband 150,RDI,,1999-10-05,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,"M.Donnely, B.Ward",Curt Collins (NPGS)
Narrowband 150,RDI,,1999-02-04,150 kHz,8 m,4 m,4 m,narrowband,,13 to 325 m,40,180 sec,L.Rosenfeld,Curt Collins (NPGS)
Narrowband 150,RDI,,1999-06-03,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,D.Hutchins,Curt Collins (NPGS)
Narrowband 150,RDI,,1999-07-21,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,C.Collins,Curt Collins (NPGS)
Narrowband 150,RDI,,1999-02-10,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,C.Collins,Curt Collins (NPGS)
Narrowband 150,RDI,,1999-02-19,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,M.McGowan,Curt Collins (NPGS)
Narrowband 150,RDI,,1999-05-11,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,H.Milburn,Curt Collins (NPGS)
Narrowband 150,RDI,,1999-04-16,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,B.Ward,Curt Collins (NPGS)
Narrowband 150,RDI,,1999-05-20,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,M.McGowan,Curt Collins (NPGS)
Narrowband 150,RDI,,1999-04-20,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPGS)
Broadband 150,RDI,,2000-01-19,150 kHz,8 m,8.08 m,4 m,broadband,,16 to 408 m,50,300 sec,F.Schwing,"Curt Collins,Navy Postgraduate School"
Narrowband 150,RDI,,2000-01-26,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,"C.Collins, R.Durazo",Curt Collins (NPS)
narrowband 75 kHz,RDI,,1996-06-17,75 kHz,8 m,8 m,4 m,narrowband,,18 to 1038 m,100,120 sec,N.Yoshioka,Y.Kashino
150,RDI,,1991-02-07,153.6 kHz,,,,,JANUS CONCAVE,17 to 309 m,,,G.Siedler,T.J.Mueller
150,RDI,,1992-12-28,153.6 kHz,8 m,,4 m,,JANUS CONCAVE,17 to 309 m,50,,Reiner Onken,T.J.Mueller
150,RDI,,1994-03-30,153.6 kHz,8 m,16 m,4 m,,JANUS CONCAVE,24 to 408 m,60,300 s,T.J. Mueller,T.J.Mueller
150,RDI,,1997-01-06,153.6 kHz,8 m,16 m,4 m,,JANUS CONCAVE,21 to 573 m,70,300 s,T.J.Mueller,T.J.Mueller
150,RDI,,1997-09-07,153.6 kHz,8 m,16 m,4 m,,JANUS CONCAVE,20 to 492 m,60,300 s,T.J.Mueller,T.J.Mueller
150,RDI,,1998-06-16,153.6 kHz,8 m,16 m,4 m,,JANUS CONCAVE,21 to 525 m,64,300 s,T.J.Mueller,T.J.Mueller
150,RDI,,1998-04-03,153.6 kHz,8 m,16 m,4 m,,JANUS CONCAVE,20 to 492 m,60,300 s,T.J.Mueller,T.J.Mueller
Narrowband 150,RDI,,1990-11-19,153 kHz,8 m,8 m,4 m,narrowband,JANUS CONCAVE,40 to 200 m,50,300 s,E.Fahrbach,Completed in CODAS-format by S.Tieste
Narrowband 150,RDI,,1992-06-11,153 kHz,8 m,8 m,4 m,narrowband,JANUS CONCAVE,23 to 350 m,40,120 s,P.Lemke,Completed in CODAS-format by S.Tieste
Narrowband 150,RDI,,1992-12-03,153 kHz,8 m,8 m,4 m,narrowband,JANUS CONCAVE,23 to 330 m,40,120 s,E.Fahrbach,Completed in CODAS-format by S.Tieste
Narrowband 150,RDI,,1996-03-17,153 kHz,4 m,4 m,4 m,narrowband,JANUS CONCAVE,19 to 180 m,80,120 s,E.Fahrbach,Completed in CODAS-format by S.Tieste
narrowband 75 kHz,RDI,,1995-01-13,75 kHz,16 m,16 m,8 m,narrowband,,30 - 1038 m,64,600 sec,Michio Aoyama,Y.Kashino
Narrowband 150,RDI,,1993-12-13,153 kHz,8 m,8 m,4 m,narrowband,JANUS CONCAVE,23 to 330 m,40,120 s,A.Wisotzki,Completed in CODAS-format by S.Tieste
Narrowband 150,RDI,,1994-12-07,153 kHz,8 m,8 m,4 m,narrowband,JANUS CONCAVE,23 to 330 m,40,120 s,A.Wisotzki,Completed in CODAS-format by S.Tieste
Narrowband 150,RDI,,1998-03-31,153 kHz,4 m,4 m,4 m,narrowband,JANUS CONCAVE,19 to 335 m,80,120 s,A.Wisotzki,Completed in CODAS-format by S.Tieste
Narrowband 150,RDI,,1998-04-28,153 kHz,4 m,4 m,4 m,narrowband,JANUS CONCAVE,19 to 335 m,80,120 s,A.Wisotzki,Completed in CODAS-format by S.Tieste
Narrowband 150,RDI,,1999-01-10,153 kHz,4 m,4 m,4 m,narrowband,JANUS CONCAVE,19 to 335 m,80,120 s,A.Wisotzki,Completed in CODAS-format by S.Tieste
