hardware_model,manufacturer,serial_numbers,cruise_beg_date,transmit_frequency,bin_length,transmit_pulse_length,blanking_interval,bandwidth,transducer_config,depth_range,num_bins,ens_avg_intvl,chief_scientist,personnel_charge
153.6 kHz hull mounted ADCP,R.D. Instruments,,2002-03-01,,8 m,8 m,4 m,,,17 to 521 m (bin centers),64,120 sec,H.L.Bryden,Louise Duncan
150 kHz Narrowband,RDI,,2005-01-11,,8 m,8 m,4 m,narrowband,,17 to 489 m,56,300 s,Rik Wanninkhof,Jules Hummon
150 kHz Narrowband,RDI,,2004-10-22,,8 m,8 m,4 m,narrowband,,17 to 457 m,56,300 s,David Zimmerman,Jules Hummon
150 kHz Narrowband,RDI,,2002-08-27,,8 m,8 m,4 m,narrowband,,17 to 489 m,60,300 s,Peter Rona,Jules Hummon
150 kHz Narrowband,RDI,,2002-09-19,,8 m,8 m,4 m,narrowband,,17 to 489 m,60,300 s,unconfirmed,Jules Hummon
150 kHz Narrowband,RDI,,2002-10-11,,8 m,8 m,4 m,narrowband,,17 to 489 m,60,300 s,unconfirmed,Jules Hummon
150 kHz Narrowband,RDI,,2003-10-27,,8 m,8 m,4 m,narrowband,,17 to 489 m,56,300 s,Ben Moore,Jules Hummon
Narrowband 150,RDI,,2003-01-09,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2003-01-27,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2003-03-11,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2003-07-21,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2003-08-09,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2003-10-28,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2003-12-01,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2004-01-27,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2004-06-08,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 150,RDI,,2004-08-04,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPS)
Narrowband 300,RDI,,2008-06-03,,8 m,8 m,4 m,narrowband,,16 to 488 m,60,300 s,John A. Hildebrand,C.Collins
Narrowband 300,RDI,,2008-08-01,,8 m,8 m,4 m,narrowband,,16 to 488 m,60,300 s,John A. Hildebrand,C.Collins
Narrowband 300,RDI,,2008-10-16,,8 m,8 m,4 m,narrowband,,16 to 488 m,60,300 s,Sean Wiggins,C.Collins
"150 broad band, concave",RDI,,2003-02-07,150 kHz,8 m,8 m,8 m,broadband,,20 to 332 m (bin centers),40,60 s,CHUCHLA Remy,"Michele Fichaut, IFREMER"
300 narrow band,RDI,,2004-01-29,300 kHz,4 m,4 m,3 m,narrowband,,11 to 207 m (bin centers),50,30 s,unconfirmed,"Michele Fichaut, IFREMER"
150 kHz broadband,Teledyne RDI,,2014-08-01,,2 m,2 m,0.5 m,broadband,< JANUS CONVEX > < JANUS CONCAVE >,6 to 260 m,128,5 min,,"Jules Hummon, K.Tokos"
